Key,Value
862902619928506372,"['i DerivedFrom ith', 'am Antonym pm', 'guessing Synonym guess', 'netflix ExternalURL resource', 'no DistinctFrom aye', 'longer RelatedTo long', 'you Synonym thou', 'grab RelatedTo grabbed', 'of HasContext british', 'that DerivedFrom thon', 'the AtLocation mouse', 'new Antonym mundane', 'rating FormOf rate', 'system AtLocation nature', 'is CapableOf expensive', 'so RelatedTo also', 'awesome Antonym fail']"
892551658487631873,"['it ExternalURL resource', 'the AtLocation mouse', 'insensitive DerivedFrom sensitive', 'at ExternalURL resource', 'park Antonym building']"
853143461360480256,"['following Antonym previous', 'the AtLocation mouse', 'path AtLocation park', 'of HasContext british', 'the AtLocation mouse', 'river AtLocation bass', 'so RelatedTo also', 'grim HasContext uk', 'up Antonym downward', 'north DistinctFrom south']"
918423568823840768,"['authority ExternalURL resource', 'no DistinctFrom aye', 'from HasContext mathematics', 'of HasContext british', 'high RelatedTo deep']"
731617467718610944,"['hey Synonym hay', 'great RelatedTo mediocre', 'sale RelatedTo buy']"
684633048483106816,"['dad SimilarTo mom', 'handy RelatedTo handiness', 'work RelatedTo play', 'can AtLocation bean', 'tell Antonym ask', 'at ExternalURL resource', 'all Antonym nothing']"
722492930016026624,"['no DistinctFrom aye', 'one CapableOf human', 'will DerivedFrom goodwill', 'know RelatedTo knowledge', 'lol RelatedTo laugh', 'fun UsedFor playing', 'funny AtLocation television', 'awesome Antonym fail', 'co AtLocation skin']"
702345480924041217,"['it ExternalURL resource', 'is CapableOf expensive', 'a AtLocation resturant', 'shame Antonym honor', 'that DerivedFrom thon', 'never RelatedTo always', 'kept RelatedTo unkept', 'up Antonym downward', 'his FormOf hi', 'twitter AtLocation web', 'account RelatedTo accountable', 'he FormOf hey', 'had EtymologicallyDerivedFrom hood', 'such HasContext philosophy', 'pleasant RelatedTo unpleasant']"
859056671179636737,"['dump RelatedTo garbage', 'your Causes knitting', 'furniture AtLocation apartment', 'on DerivedFrom online', 'the AtLocation mouse', 'sidewalk RelatedTo curb', 'leave Antonym come', 'the AtLocation mouse', 'city RelatedTo country', 'of HasContext british', 'will DerivedFrom goodwill', 'clean RelatedTo dirty', 'it ExternalURL resource', 'up Antonym downward', 'university AtLocation auditorium', 'of HasContext british']"
923929354610053120,"['hitting Synonym hit', 'sure DerivedFrom surely', 'changed RelatedTo change', 'in Synonym e']"
919651889511313408,"['leaving RelatedTo leave', 'barcelona ExternalURL resource', 'to Antonym past', 'come DistinctFrom go', 'home RelatedTo away', 'for Antonym contra', 'yay FormOf yea']"
877816574240972802,"['hell RelatedTo heaven', 'yeah Antonym nope', 'funny AtLocation television', 'fail Antonym awesome']"
806888630031622148,"['all Antonym nothing', 'the AtLocation mouse', 'damn Synonym darn', 'time RelatedTo age']"
