Key,Value
862902619928506372,"['red RelatedTo blue', 'white RelatedTo black', 'dark RelatedTo bright']"
892551658487631873,"['large RelatedTo small', 'white RelatedTo black', 'green Antonym experienced', 'white RelatedTo black', 'yellow RelatedTo red', 'large RelatedTo small', 'white RelatedTo black', 'green Antonym experienced', 'orange RelatedTo apple', 'white RelatedTo black', 'brick UsedFor building', 'black RelatedTo white', 'blue RelatedTo red', 'large RelatedTo small', 'black RelatedTo white', 'blue RelatedTo red', 'large RelatedTo small', 'brown DerivedFrom brownie', 'white RelatedTo black']"
853143461360480256,"['bare Antonym ample', 'brown DerivedFrom brownie', 'green Antonym experienced', 'yellow RelatedTo red', 'green Antonym experienced', 'yellow RelatedTo red', 'blurry ExternalURL resource', 'tall Antonym low', 'white RelatedTo black', 'green Antonym experienced', 'white RelatedTo black', 'white RelatedTo black', 'blurry ExternalURL resource', 'white RelatedTo black', 'bright Antonym black']"
918423568823840768,"['black RelatedTo white', 'red RelatedTo blue', 'white RelatedTo black', 'white RelatedTo black', 'white RelatedTo black']"
731617467718610944,"['black RelatedTo white', 'white RelatedTo black', 'white RelatedTo black', 'white RelatedTo black', 'black RelatedTo white', 'black RelatedTo white', 'black RelatedTo white', 'black RelatedTo white', 'black RelatedTo white', 'gray Synonym grey', 'white RelatedTo black', 'black RelatedTo white', 'white RelatedTo black', 'white RelatedTo black']"
684633048483106816,"['white RelatedTo black', 'gray Synonym grey', 'white RelatedTo black', 'white RelatedTo black', 'gray Synonym grey', 'gray Synonym grey']"
722492930016026624,"['white RelatedTo black', 'white RelatedTo black', 'small RelatedTo big', 'white RelatedTo black', 'black RelatedTo white', 'white RelatedTo black', 'white RelatedTo black', 'white RelatedTo black', 'white RelatedTo black', 'round Antonym fillet', 'white RelatedTo black', 'black RelatedTo white']"
702345480924041217,"['white RelatedTo black', 'white RelatedTo black', 'blue RelatedTo red', 'white RelatedTo black', 'white RelatedTo black', 'white RelatedTo black']"
859056671179636737,"['black RelatedTo white', 'tall Antonym low', 'gray Synonym grey', 'black RelatedTo white', 'brick UsedFor building', 'white RelatedTo black', 'gray Synonym grey', 'brick UsedFor building', 'black RelatedTo white', 'gray Synonym grey', 'gray Synonym grey', 'brick UsedFor building', 'white RelatedTo black', 'gray Synonym grey']"
923929354610053120,"['brown DerivedFrom brownie', 'black RelatedTo white', 'black RelatedTo white', 'striped HasProperty fish', 'white RelatedTo black', 'brown DerivedFrom brownie', 'black RelatedTo white', 'wooden Synonym wood', 'black RelatedTo white', 'striped HasProperty fish', 'sitting FormOf siting', 'black RelatedTo white', 'red RelatedTo blue', 'white RelatedTo black', 'watching RelatedTo watch', 'striped HasProperty fish', 'sitting FormOf siting', 'sitting FormOf siting', 'gray Synonym grey', 'standing RelatedTo moving', 'black RelatedTo white', 'pink DerivedFrom pinky', 'pink DerivedFrom pinky', 'brown DerivedFrom brownie', 'walking UsedFor exercise', 'concrete Antonym discrete', 'watching RelatedTo watch', 'white RelatedTo black']"
