Key,Value
685491413409112065,"{'nothing': 'everything', 'better': 'worse', 'than': 'rather', 'design': 'plate', 'of': 'british', 'convention': 'people'}"
700183392969756672,"{'oh': 'ohio', 'i': 'ith', 'so': 'also', 'love': 'hatred', 'working': 'broken', 'late': 'early', 'from': 'mathematics', 'home': 'away', 'work': 'play', 'ugh': 'annoyance'}"
928753954745475072,"{'buddy': 'bud', 'o': 'okay', 'miracle': 'universe', 'worker': 'factory'}"
935133439011049473,"{'something': 'nothing', 'different': 'alike', 'a': 'resturant', 'delay': 'delaying', 'on': 'online', 'the': 'mouse', 'red': 'blue', 'line': 'bank', 'hooray': 'hurray', 'for': 'contra', 'having': 'getting', 'to': 'past', 'watch': 'ignore', 'full': 'bare', 'train': 'cargo', 'leave': 'come', 'station': 'subway', 'with': 'without', 'half': 'double', 'of': 'british', 'us': 'use', 'still': 'dance', 'platform': 'building'}"
933466049697198080,"{'oh': 'ohio', 'really': 'duh', 'thanks': 'thanksgiving', 'for': 'contra', 'the': 'mouse', 'super': 'bright', 'useful': 'pointless', 'notification': 'notice', 'ugh': 'annoyance'}"
699788403940978689,"{'our': 'resource', 'beautiful': 'average', 'view': 'model', 'along': 'alongside', 'beach': 'alligator'}"
784534223273267200,"{'debris': 'bridge', 'boy': 'girl', 'oh': 'ohio', 'this': 'philosophy', 'will': 'goodwill', 'be': 'cat', 'fun': 'playing', 'to': 'past', 'clean': 'dirty', 'up': 'downward', 'later': 'earlier'}"
789486218478984680_45610102,"{'love': 'hatred', 'starting': 'start', 'new': 'mundane', 'right': 'bad', 'before': 'behind', 'go': 'come', 'to': 'past', 'bed': 'bag', 'drawing': 'mammoth', 'sketchbook': 'book'}"
873771655218245633,"{'if': 'unless', 'you': 'thou', 'ever': 'never', 'been': 'bein', 'in': 'e', 'doubt': 'lying', 'is': 'expensive', 'leader': 'wheeler', 'of': 'british', 'trump': 'card'}"
711687091449700354,"{'off': 'cutoff', 'duty': 'right', 'game': 'cautious', 'of': 'british', 'against': 'pro', 'i': 'ith', 'won': 'resource', 'by': 'main', 'm': 'mississippi', 'not': 'pretending', 'at': 'resource', 'all': 'nothing', 'smug': 'smok', 'about': 'abouts', 'it': 'resource'}"
720501577426018305,"{'i': 'ith', 'm': 'mississippi', 'such': 'philosophy', 'a': 'resturant', 'morning': 'night', 'person': 'crowd'}"
924718864692338688,"{'cricket': 'try', 'at': 'resource', 'best': 'worst'}"
702294807830515712,"{'yeah': 'nope', 'he': 'hey', 'would': 'resource', 'be': 'cat', 'successful': 'failed', 'as': 'sea'}"
682987076128657408,"{'that': 'thon', 's': 'sec', 'ok': 'bad', 'i': 'ith', 't': 'bent', 'want': 'need', 'to': 'past', 'watch': 'ignore', 'the': 'mouse', 'nhl': 'disease', 'anyway': 'way'}"
684127708486496259,"{'love': 'hatred', 'that': 'thon', 'prime': 'bad', 'service': 'capital', 'this': 'philosophy', 'just': 'bad', 'happening': 'resource', 'with': 'without', 'my': 'min', 'so': 'also', 'worth': 'worship'}"
917370028042973184,"{'go': 'come', 'new': 'mundane', 'jersey': 'resource', 'so': 'also', 'proud': 'ashamed'}"
900349009130209280,"{'yeah': 'nope', 'cause': 'effect', 'that': 'thon', 's': 'sec', 'what': 'somewhat', 'we': 'control', 'do': 'computer', 'in': 'e', 'this': 'philosophy', 'country': 'city', 'ppl': 'internet', 'down': 'arise', 'for': 'contra', 'their': 'thier', 'political': 'apolitical', 'nothing': 'everything', 'at': 'resource', 'all': 'nothing'}"
815972575230722048,"{'cute': 'cuteness', 'but': 'pain', 'where': 'anywhere', 'do': 'computer', 'i': 'ith', 'put': 'take', 'the': 'mouse', 'leaf': 'insect', 'in': 'e', 'my': 'min', 'hair': 'clip'}"
691996108738990080,"{'fabulous': 'beat', 'job': 'instrument', 'done': 'overdone', 'by': 'main', 'your': 'knitting', 'sorting': 'sort', 'the': 'mouse', 'flooding': 'rain', 'at': 'resource', 'mess': 'apartment', 'disgrace': 'disgraceful'}"
752578630820167680,"{'i': 'ith', 've': 'resource', 'just': 'bad', 'got': 'gotcha', 'my': 'min', 'sample': 'resource', 'in': 'e', 'the': 'mouse', 'mail': 'advertisement', 'what': 'somewhat', 'a': 'resturant', 'super': 'bright'}"
889492696225558528,"{'totally': 'total', 'can': 'bean', 't': 'bent', 'figure': 'figured', 'out': 'safe', 'why': 'resource', 'so': 'also', 'many': 'crowd', 'people': 'ignorance', 'say': 'anyone', 'the': 'mouse', 'river': 'bass', 'valley': 'creek', 'is': 'expensive', 'their': 'thier', 'part': 'partake', 'of': 'british', 'when': 'whenever', 'it': 'resource', 'like': 'dislike', 'this': 'philosophy'}"
1000900004679480792_43891756,"{'thanks': 'thanksgiving', 'never': 'always', 'had': 'hood', 'a': 'resturant', 'cord': 'backpack', 'last': 'first', 'this': 'philosophy', 'long': 'short', 'apple': 'orange'}"
867806078498738176,"{'from': 'mathematics', 'this': 'philosophy', 'pic': 'pitch', 'i': 'ith', 'could': 'might', 'conclude': 'begin', 'that': 'thon', 'are': 'ar', 'going': 'go', 'great': 'mediocre', 'on': 'online', 'front': 'back', 'positive': 'minus', 'energy': 'engine', 'all': 'nothing', 'around': 'round'}"
